연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2015,영천동,생산량,982,19328,768,90,654,3822.5,0,2024-05-13
2015,동홍동,농가수,53,368,28,2,6,53,0,2024-05-13
2015,동홍동,면적,9.7,160.3,5.5,0.5,2.2,17.6,0,2024-05-13
2015,동홍동,생산량,253,4096,155,38,33,443.9,0,2024-05-13
2015,서홍동,농가수,15,318,19,4,26,34,0,2024-05-13
2015,서홍동,면적,12.3,246.7,11,1.6,16.4,14.8,0,2024-05-13
2015,서홍동,생산량,317,6365,284,130,324,353.1,0,2024-05-13
2015,대륜동,농가수,15,397,11,3,0,96,6,2024-05-13
2015,대륜동,면적,13.2,435.4,6,0.5,0,36.4,1,2024-05-13
2015,대륜동,생산량,384,14629,175,38,0,1068.9,29.2,2024-05-13
2015,대천동,농가수,86,755,38,18,90,603,5,2024-05-13
2015,대천동,면적,83.1,520.1,27.5,6.7,70.4,176.7,0.8,2024-05-13
2015,대천동,생산량,1999,16123,700,533,1450,5391,12.4,2024-05-13
2015,중문동,농가수,149,1308,12,7,48,175,18,2024-05-13
2015,중문동,면적,67.7,556.7,9,1.5,31.3,55.8,3.7,2024-05-13
2015,중문동,생산량,1885,16993,258,122,635,1642.6,78,2024-05-13
2015,예래동,농가수,33,644,0,14,0,100,6,2024-05-13
2015,예래동,면적,29.3,576.6,0,5,0,41.6,1.4,2024-05-13
2015,예래동,생산량,1011,14119,0,376,0,1068.6,26,2024-05-13
2016,대정읍,농가수,54,679,0,0,126,217,16,2024-05-13
2016,대정읍,면적,40.4,489.4,0,0,65.6,69.9,4,2024-05-13
2016,대정읍,생산량,874,13633,0,0,1643,2584,114,2024-05-13
2016,남원읍,농가수,174,3481,210,434,675,1448,126,2024-05-13
2016,남원읍,면적,159.8,3267.1,194.2,185,549.1,630.3,33,2024-05-13
2016,남원읍,생산량,3514,86682,5657,15260,15538,25566,802,2024-05-13
2016,성산읍,농가수,73,1046,36,1,143,147,54,2024-05-13
2016,성산읍,면적,39,811.6,20,0.3,57.7,62.2,5,2024-05-13
2016,성산읍,생산량,833,19126,669,14,1599,1441,127,2024-05-13
2016,안덕면,농가수,235,934,29,20,144,151,22,2024-05-13
2016,안덕면,면적,78,728.1,10,7.3,66.7,51.9,16,2024-05-13
2016,안덕면,생산량,1554,16345,220,504,1783,1740,594,2024-05-13
2016,표선면,농가수,48,891,0,88,105,636,31,2024-05-13
2016,표선면,면적,38,929,0,34.6,63,263.1,8.1,2024-05-13
2016,표선면,생산량,969,24619,0,2536,1702,9451,219,2024-05-13
2016,송산동,농가수,34,274,18,34,23,90,0,2024-05-13
2016,송산동,면적,6.8,158.3,4.2,14.5,6.8,31.2,0,2024-05-13
2016,송산동,생산량,244,4385,109,981,104,975,0,2024-05-13
2016,천지동,농가수,9,27,13,0,0,8,0,2024-05-13
2016,천지동,면적,2,8,4,0,0,2.7,0,2024-05-13
2016,천지동,생산량,61,245,122,0,0,103,0,2024-05-13
2016,효돈동,농가수,101,741,0,17,36,188,6,2024-05-13
2016,효돈동,면적,36,290,0,4.8,23,63.3,2,2024-05-13
2016,효돈동,생산량,929,6514,0,351,643,2513,77,2024-05-13
2016,영천동,농가수,116,692,56,3,73,339,0,2024-05-13
2016,영천동,면적,30,615,19,1.1,38.4,129.8,0,2024-05-13
2016,영천동,생산량,950,17015,668,60,1076,3486,0,2024-05-13
2016,동홍동,농가수,53,356,28,1,6,54,0,2024-05-13
2016,동홍동,면적,9.7,159.3,5.5,0.3,2.2,17.8,0,2024-05-13
2016,동홍동,생산량,281,3761,167,15,65,525,0,2024-05-13
2016,서홍동,농가수,15,318,19,2,40,43,0,2024-05-13
2016,서홍동,면적,12.3,240,11,1.2,15.8,17.8,0,2024-05-13
2016,서홍동,생산량,372,7380,338,75,448,653,0,2024-05-13
2016,대륜동,농가수,15,397,11,5,0,96,6,2024-05-13
2016,대륜동,면적,13.2,435.4,6,1,0,36.4,1,2024-05-13
2016,대륜동,생산량,384,12054,175,60,0,1155,29,2024-05-13
2016,대천동,농가수,74,746,36,24,102,619,5,2024-05-13
2016,대천동,면적,81.6,512.5,26.7,9.1,74.4,181.1,0.8,2024-05-13
2016,대천동,생산량,1890,13410,1104,565,2476,5176,12,2024-05-13
2016,중문동,농가수,150,1302,9,13,47,178,18,2024-05-13
2016,중문동,면적,67.8,554.4,8.1,3.6,31.4,56.6,3.7,2024-05-13
2016,중문동,생산량,1880,14513,256,211,898,1758,98,2024-05-13
2016,예래동,농가수,33,642,0,14,2,100,6,2024-05-13
2016,예래동,면적,29.4,575.6,0,5,0.6,41.6,1.4,2024-05-13
2016,예래동,생산량,1000,13987,0,292,0,1157,26,2024-05-13
2017,대정읍,농가수,42,556,0,0,109,185,14,2024-05-13
2017,대정읍,면적,41.5,477.7,0,0,72.3,68.7,3.6,2024-05-13
2017,대정읍,생산량,894,13999,0,0,1960,2634,110,2024-05-13
2017,남원읍,농가수,129,2908,194,390,613,1295,97,2024-05-13
2017,남원읍,면적,140.8,3167.2,211.1,198.3,545.2,659.2,34.7,2024-05-13
2017,남원읍,생산량,3440,100909,10320,17642,15877,27380,847,2024-05-13
2017,성산읍,농가수,184,1455,33,21,21,230,147,2024-05-13
2017,성산읍,면적,62.1,807,17.7,10.3,10.3,89.1,34.6,2024-05-13
2017,성산읍,생산량,1418,18238,608,715,238,2491,131,2024-05-13
2017,안덕면,농가수,189,645,26,11,126,120,18,2024-05-13
2017,안덕면,면적,76.4,679.9,7.6,9.1,72.8,48.4,15.3,2024-05-13
2017,안덕면,생산량,1644,16438,183,462,1850,1734,578,2024-05-13
2017,표선면,농가수,32,769,0,77,92,536,34,2024-05-13
2017,표선면,면적,38,912,0,39.6,66,268.8,8.3,2024-05-13
2017,표선면,생산량,851,20422,0,2092,3487,7861,160,2024-05-13
2017,송산동,농가수,36,227,14,29,25,92,0,2024-05-13
2017,송산동,면적,2.5,122.8,0,12,6.9,27.5,0,2024-05-13
2017,송산동,생산량,82,456,11,666,118,627,0,2024-05-13
2017,천지동,농가수,0,1,0,0,0,9,5,2024-05-13
2017,천지동,면적,0,0.4,0,0,0,2,0.5,2024-05-13
2017,천지동,생산량,0,8,0,0,0,66,4,2024-05-13
2017,효돈동,농가수,171,1141,0,15,31,156,12,2024-05-13
2017,효돈동,면적,89.1,173,0,3.6,21.5,62.8,5.5,2024-05-13
2017,효돈동,생산량,2439,4153,0,532,1170,2152,187,2024-05-13
2017,영천동,농가수,257,1439,17,0,42,287,47,2024-05-13
2017,영천동,면적,72.6,440.5,5.2,0,34.1,111.4,18.1,2024-05-13
2017,영천동,생산량,2385,13353,159,0,994,2921,60,2024-05-13
2017,동홍동,농가수,51,287,0,0,4,55,11,2024-05-13
2017,동홍동,면적,14.1,126.9,0,1.7,3.4,25,2.2,2024-05-13
2017,동홍동,생산량,293,3723,167,49,97,498,37,2024-05-13
2017,서홍동,농가수,46,336,0,0,10,95,15,2024-05-13
2017,서홍동,면적,29.9,219.2,0,0,6.2,30.3,25.8,2024-05-13
2017,서홍동,생산량,968,7097,0,0,204,1103,939,2024-05-13
2017,대륜동,농가수,39,515,6,7,0,94,5,2024-05-13
2017,대륜동,면적,41.1,366,4.1,0,0,49.8,1,2024-05-13
2017,대륜동,생산량,1352,12168,0,0,0,1310,27,2024-05-13
2017,대천동,농가수,63,605,28,13,79,507,5,2024-05-13
2017,대천동,면적,81.5,495.2,50.1,8.8,70.6,176.6,0,2024-05-13
2017,대천동,생산량,2003,11302,1001,224,3130,4918,0,2024-05-13
2017,중문동,농가수,121,1078,12,0,42,141,14,2024-05-13
2017,중문동,면적,67.3,538.7,6.1,0,28.1,52.9,3.4,2024-05-13
2017,중문동,생산량,1571,12425,286,170,850,1598,102,2024-05-13
2017,예래동,농가수,28,531,0,13,0,80,5,2024-05-13
2017,예래동,면적,29.8,565.3,0,6.4,0,43.4,1.3,2024-05-13
2017,예래동,생산량,745,9897,0,236,0,918,28,2024-05-13
2018,대정읍,농가수,113,655,10,0,41,397,26,2024-05-13
2018,대정읍,면적,99.2,521.7,9.9,0,24.3,197.9,29.3,2024-05-13
2018,대정읍,생산량,2771,16810,359,0,1006,4942,250,2024-05-13
2018,남원읍,농가수,385,2831,20,440,607,1958,97,2024-05-13
2018,남원읍,면적,276.4,2279.2,26.3,200.3,384.1,873.2,119,2024-05-13
2018,남원읍,생산량,7287,72321,934,16179,15139,20060,398,2024-05-13
2018,성산읍,농가수,105,1045,15,28,28,270,111,2024-05-13
2018,성산읍,면적,65.8,825.1,15.4,10.3,17.5,100.1,36.8,2024-05-13
2018,성산읍,생산량,1818,26435,552,715,739,2525,301,2024-05-13
2018,안덕면,농가수,189,873,9,23,52,274,17.9,2024-05-13
2018,안덕면,면적,155.2,702.7,8.7,9.1,34.7,117.8,51.7,2024-05-13
2018,안덕면,생산량,4492,22554,352,462,1415,2962,403,2024-05-13
2018,표선면,농가수,135,1101,17,97,121,789,43,2024-05-13
2018,표선면,면적,115,873.8,16.9,36,89,349.4,37.7,2024-05-13
2018,표선면,생산량,3230,27983,604,1760,3546,8684,305,2024-05-13
2018,송산동,농가수,29,135,3,38,21,132,10,2024-05-13
2018,송산동,면적,23,90.8,1.2,11.4,13,58.4,6.8,2024-05-13
2018,송산동,생산량,659,2881,42,750,510,1443,46,2024-05-13
2018,천지동,농가수,1,2,0,0,3,10,2,2024-05-13
2018,천지동,면적,0.2,1.3,0,0,1.3,1.8,0.6,2024-05-13
2018,천지동,생산량,4,41,0,0,51,44,4,2024-05-13
2018,효돈동,농가수,152,215,1,24,29,172,11.7,2024-05-13
